Author	Title	Tags	Directory
Carolyn G. Hart	Something Wicked	1988, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Elizabeth Peters	Naked Once More	1989, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Nancy Pickard	Bum Steer	1990, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Nancy Pickard	I.O.U.	1991, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Margaret Maron	Bootlegger’s Daughter	1992, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Carolyn Hart	Dead Man’s Island	1993, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Sharyn McCrumb	She Walks These Hills	1994, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Sharyn McCrumb	If I’d Killed Him When I Met Him	1995, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Margaret Maron	Up Jumps the Devil	1996, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Kate Ross	The Devil in Music	1997, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Laura Lippman	Butchers Hill	1998, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Earlene Fowler	Mariner’s Compass	1999, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Margaret Maron	Storm Track	2000, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Rhys Bowen	Murphy’s Law	2001, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Donna Andrews	You’ve Got Murder	2002, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Carolyn Hart	Letter from Home	2003, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Jacqueline Winspear	Birds of a Feather	2004, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Katherine Hall Page	The Body in the Snowdrift	2005, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Nancy Pickard	The Virgin of Small Plains	2006, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Louise Penny	A Fatal Grace	2007, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Louise Penny	The Cruelest Month	2008, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Louise Penny	A Brutal Telling	2009, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Louise Penny	Bury Your Dead	2010, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Margaret Maron	Three-Day Town	2011, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Louise Penny	The Beautiful Mystery	2012, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Hank Phillippi Ryan	The Wrong Girl	2013, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Hank Phillippi Ryan	Truth Be Told	2014, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Margaret Maron	Long Upon the Land	2015, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Louise Penny	Glass Houses	2017, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Ann Cleeves	The Long Call	2019, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Louise Penny	All the Devils Are Here	2020, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Ellen Byron	Cajun Kiss of Death	2021, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Amanda Flower	Because I Could Not Stop for Death	2022, Agatha-Award-for-Best-Novel-Winner	mystery-novel
Sujata Massey	The Mistress of Bhatia House	2023, Agatha-Award-for-Best-Novel-Winner	mystery-novel
